action,source,destination,reason,kept_instead
COPIED,9a Duplicates/MP4 bad audio/Billy tells a men's room jokeR.mp4,Billy tells a men's room jokeR.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Billy tells a snowman jokeR.mp4,Billy tells a snowman jokeR.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Billy tells a water joke13.mp4,Billy tells a water joke13.mp4,,
COPIED,1c Not Funny Enough/Billy tells an ethnic jokeR.mp4,Billy tells an ethnic jokeR.mp4,,
COPIED,9a Duplicates/billycleanjoke.mp4,billycleanjoke.mp4,,
COPIED,1j Too Ethnic/bj copy.mov,bj copy.mov,,
COPIED,1j Too Ethnic/black airplane copy.mov,black airplane copy.mov,,
COPIED,1j Too Ethnic/black apples copy.mp4,black apples copy.mp4,,
COPIED,1j Too Ethnic/black boots  copy.mov,black boots  copy.mov,,
COPIED,9a Duplicates/FLV/black canoe copy.flv,black canoe copy.flv,,
COPIED,1j Too Ethnic/black macarena copy.mp4,black macarena copy.mp4,,
COPIED,1j Too Ethnic/black monkey joke  copy.mov,black monkey joke  copy.mov,,
COPIED,1j Too Ethnic/black pizza copy.mov,black pizza copy.mov,,
COPIED,1j Too Ethnic/black pregnant copy.mov,black pregnant copy.mov,,
COPIED,1j Too Ethnic/black shit copy.mov,black shit copy.mov,,
COPIED,4 Background Trailers Etc/Blanket TMAJ intro.mp4,Blanket TMAJ intro.mp4,,
COPIED,9a Duplicates/FLV/blind carpenter copy.flv,blind carpenter copy.flv,,
COPIED,9a Duplicates/FLV/blonde - brunette copy.flv,blonde - brunette copy.flv,,
COPIED,9a Duplicates/FLV/blonde bar copy.flv,blonde bar copy.flv,,
COPIED,9a Duplicates/FLV/blonde earrings copy.flv,blonde earrings copy.flv,,
COPIED,9a Duplicates/MP4 bad audio/blonde essay copy.mp4,blonde essay copy.mp4,,
COPIED,9a Duplicates/MP4 bad audio/blonde mosquito copy.mp4,blonde mosquito copy.mp4,,
COPIED,9a Duplicates/FLV/blonde screen door copy.flv,blonde screen door copy.flv,,
COPIED,9a Duplicates/FLV/blonde sperm copy.flv,blonde sperm copy.flv,,
COPIED,9a Duplicates/MP4 bad audio/Blonde tells a blonde joke.mp4,Blonde tells a blonde joke.mp4,,
COPIED,1j Too Ethnic/Blonde tells a ethnic jokeR.mp4,Blonde tells a ethnic jokeR.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Blonde tells a strawberry joke.mp4,Blonde tells a strawberry joke.mp4,,
COPIED,9a Duplicates/MP4 bad audio/blonde tells another m jackson joke.mp4,blonde tells another m jackson joke.mp4,,
COPIED,9a Duplicates/MP4 bad audio/blonde tells m jackson joke.mp4,blonde tells m jackson joke.mp4,,
COPIED,9a Duplicates/blonde tells palm sunday joke.mp4,blonde tells palm sunday joke.mp4,,
COPIED,1d Too Dirty/blowpop.mp4,blowpop.mp4,,
COPIED,1d Too Dirty/blowpop copy.mp4,blowpop copy.mp4,,
COPIED,9a Duplicates/FLV/bob tells a black and white joke.flv,bob tells a black and white joke.flv,,
COPIED,1g Kids/bob tells a fire joke.mov,bob tells a fire joke.mov,,
COPIED,9a Duplicates/MP4 bad audio/Bobby A tells a knock knock jokePG.mp4,Bobby A tells a knock knock jokePG.mp4,,
COPIED,9a Duplicates/FLV/Bobby H tells a witch joke.flv,Bobby H tells a witch joke.flv,,
COPIED,1c Not Funny Enough/bobby hanson copy.mov,bobby hanson copy.mov,,
COPIED,9a Duplicates/FLV/Bobby tells woman joke 3.flv,Bobby tells woman joke 3.flv,,
COPIED,9a Duplicates/FLV/boo bees copy.flv,boo bees copy.flv,,
COPIED,1g Kids/boo hoo joke copy.mp4,boo hoo joke copy.mp4,,
COPIED,9a Duplicates/FLV/bra and hat copy.flv,bra and hat copy.flv,,
COPIED,9a Duplicates/FLV/brad copy.flv,brad copy.flv,,
COPIED,1i Fails/Brad goes on a lottery rantR.mp4,Brad goes on a lottery rantR.mp4,,
COPIED,1i Fails/brad tells a  fat girl joke.mp4,brad tells a  fat girl joke.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Brad tells a blonde jokeR.mp4,Brad tells a blonde jokeR.mp4,,
COPIED,9a Duplicates/FLV/brad tells a fat girl joke.flv,brad tells a fat girl joke.flv,,
COPIED,9a Duplicates/FLV/brandon.flv,brandon.flv,,
COPIED,9a Duplicates/MP4 bad audio/Brandon tells a bathroom jokeR.mp4,Brandon tells a bathroom jokeR.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Brandon tells a yo momma jokeR.mp4,Brandon tells a yo momma jokeR.mp4,,
COPIED,9a Duplicates/MP4 bad audio/Brendan tells a Michael Jackson jokeR.mp4,Brendan tells a Michael Jackson jokeR.mp4,,
COPIED,9a Duplicates/FLV/Brenden tells stevie wonder joke 3.flv,Brenden tells stevie wonder joke 3.flv,,
COPIED,9a Duplicates/FLV/brent tells a sex joke.flv,brent tells a sex joke.flv,,
COPIED,9a Duplicates/FLV/brett copy.flv,brett copy.flv,,
COPIED,9a Duplicates/FLV/bri m 4 copy.flv,bri m 4 copy.flv,,
COPIED,9a Duplicates/FLV/brian bosworth 2 copy.flv,brian bosworth 2 copy.flv,,
COPIED,9a Duplicates/FLV/brian bosworth copy.flv,brian bosworth copy.flv,,
COPIED,9a Duplicates/FLV/brian donnely copy.flv,brian donnely copy.flv,,
COPIED,9a Duplicates/FLV/Brian dosn't ever get laid!.flv,Brian dosn't ever get laid!.flv,,
COPIED,9a Duplicates/FLV/brian quinn copy.flv,brian quinn copy.flv,,
COPIED,9a Duplicates/FLV/Brian tells a dishwasher joke13.flv,Brian tells a dishwasher joke13.flv,,
