action,source,destination,reason,kept_instead
SKIPPED,9a Duplicates/MP4 bad audio/Daniel tells a tampon jokeR.mp4,,same base name and format in different folder,9a Duplicates/Daniel tells a tampon jokeR.mp4
SKIPPED,9a Duplicates/FLV/Daniel tells a tampon jokeR.flv,,"same base name, lower-priority format",9a Duplicates/Daniel tells a tampon jokeR.mp4
SKIPPED,9a Duplicates/Daniel tells an ethnic jokeR.wmv,,"same base name, lower-priority format",1j Too Ethnic/Daniel tells an ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/Daniel tells an ethnic jokeR.flv,,"same base name, lower-priority format",1j Too Ethnic/Daniel tells an ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/danielle copy.flv,,"same base name, lower-priority format",9a Duplicates/danielle copy.mp4
SKIPPED,1d Too Dirty/danny and ashley copy.mov,,"same base name, lower-priority format",9a Duplicates/danny and ashley copy.mp4
SKIPPED,9a Duplicates/FLV/danny and ashley copy.flv,,"same base name, lower-priority format",9a Duplicates/danny and ashley copy.mp4
SKIPPED,9a Duplicates/MP4 bad audio/danryanknockknock.mp4,,same base name and format in different folder,9a Duplicates/danryanknockknock.mp4
SKIPPED,9a Duplicates/FLV/danryanknockknock.flv,,"same base name, lower-priority format",9a Duplicates/danryanknockknock.mp4
SKIPPED,9a Duplicates/FLV/dara lee copy.flv,,"same base name, lower-priority format",9a Duplicates/dara lee copy.mp4
SKIPPED,9a Duplicates/FLV/darren copy.flv,,"same base name, lower-priority format",9a Duplicates/darren copy.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Daryl D tells a Tarzan Joke 4.mp4,,same base name and format in different folder,9a Duplicates/Daryl D tells a Tarzan Joke 4.mp4
SKIPPED,9a Duplicates/FLV/Daryl D tells a Tarzan Joke 4.flv,,"same base name, lower-priority format",9a Duplicates/Daryl D tells a Tarzan Joke 4.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Dave M tells a cowboy jokeR.mp4,,same base name and format in different folder,9a Duplicates/Dave M tells a cowboy jokeR.mp4
SKIPPED,9a Duplicates/FLV/Dave M tells a cowboy jokeR.flv,,"same base name, lower-priority format",9a Duplicates/Dave M tells a cowboy jokeR.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Dave tells a bj jokeR.mp4,,same base name and format in different folder,9a Duplicates/Dave tells a bj jokeR.mp4
SKIPPED,9a Duplicates/FLV/Dave tells a bj jokeR.flv,,"same base name, lower-priority format",9a Duplicates/Dave tells a bj jokeR.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Dave tells a hampster jokePG.mp4,,same base name and format in different folder,9a Duplicates/Dave tells a hampster jokePG.mp4
SKIPPED,9a Duplicates/FLV/Dave tells a hampster jokePG.flv,,"same base name, lower-priority format",9a Duplicates/Dave tells a hampster jokePG.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Dave tells a wife jokePG.mp4,,same base name and format in different folder,9a Duplicates/Dave tells a wife jokePG.mp4
SKIPPED,9a Duplicates/FLV/Dave tells a wife jokePG.flv,,"same base name, lower-priority format",9a Duplicates/Dave tells a wife jokePG.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Dave tells an ethnic jokeR.mp4,,same base name and format in different folder,1j Too Ethnic/Removed from Live/Dave tells an ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/Dave tells an ethnic jokeR.flv,,"same base name, lower-priority format",1j Too Ethnic/Removed from Live/Dave tells an ethnic jokeR.mp4
SKIPPED,9a Duplicates/Dave tells blonde joke.wmv,,"same base name, lower-priority format",9a Duplicates/Dave tells blonde joke.mp4
SKIPPED,9a Duplicates/FLV/Dave tells blonde joke.flv,,"same base name, lower-priority format",9a Duplicates/Dave tells blonde joke.mp4
SKIPPED,1j Too Ethnic/Davey tells black bertha joke.wmv,,"same base name, lower-priority format",9a Duplicates/Davey tells black bertha joke.mp4
SKIPPED,9a Duplicates/FLV/Davey tells black bertha joke.flv,,"same base name, lower-priority format",9a Duplicates/Davey tells black bertha joke.mp4
SKIPPED,9a Duplicates/FLV/david b copy.flv,,"same base name, lower-priority format",9a Duplicates/david b copy.mp4
SKIPPED,1g Kids/David tell ryming joke.mov,,"same base name, lower-priority format",9a Duplicates/David tell ryming joke.mp4
SKIPPED,9a Duplicates/David tell ryming joke.wmv,,"same base name, lower-priority format",9a Duplicates/David tell ryming joke.mp4
SKIPPED,9a Duplicates/FLV/David tell ryming joke.flv,,"same base name, lower-priority format",9a Duplicates/David tell ryming joke.mp4
SKIPPED,1g Kids/David tells a bunch of lightbulb jokes.wmv,,"same base name, lower-priority format",9a Duplicates/David tells a bunch of lightbulb jokes.mp4
SKIPPED,9a Duplicates/FLV/David tells a bunch of lightbulb jokes.flv,,"same base name, lower-priority format",9a Duplicates/David tells a bunch of lightbulb jokes.mp4
SKIPPED,9a Duplicates/David tells a sex joke 4.wmv,,"same base name, lower-priority format",1b Long Jokes/David tells a sex joke 4.mp4
SKIPPED,9a Duplicates/FLV/David tells a sex joke 4.flv,,"same base name, lower-priority format",1b Long Jokes/David tells a sex joke 4.mp4
SKIPPED,1g Kids/David tells chicken joke.wmv,,"same base name, lower-priority format",9a Duplicates/David tells chicken joke.mp4
SKIPPED,9a Duplicates/FLV/David tells chicken joke.flv,,"same base name, lower-priority format",9a Duplicates/David tells chicken joke.mp4
SKIPPED,9a Duplicates/FLV/Dawson tells a wooden jokeR.flv,,"same base name, lower-priority format",9a Duplicates/MP4 bad audio/Dawson tells a wooden jokeR.mp4
SKIPPED,9a Duplicates/FLV/dc copy.flv,,"same base name, lower-priority format",9a Duplicates/dc copy.mp4
SKIPPED,9a Duplicates/MP4 bad audio/DC tells a beer joke.mp4,,same base name and format in different folder,1c Not Funny Enough/DC tells a beer joke.mp4
SKIPPED,9a Duplicates/FLV/DC tells a beer joke.flv,,"same base name, lower-priority format",1c Not Funny Enough/DC tells a beer joke.mp4
SKIPPED,1j Too Ethnic/dcanotherethnicjoke.wmv,,"same base name, lower-priority format",9a Duplicates/dcanotherethnicjoke.mp4
SKIPPED,9a Duplicates/FLV/dcanotherethnicjoke.flv,,"same base name, lower-priority format",9a Duplicates/dcanotherethnicjoke.mp4
SKIPPED,1j Too Ethnic/dcethnicjoke2.wmv,,"same base name, lower-priority format",9a Duplicates/dcethnicjoke2.mp4
SKIPPED,9a Duplicates/FLV/dcethnicjoke2.flv,,"same base name, lower-priority format",9a Duplicates/dcethnicjoke2.mp4
SKIPPED,9a Duplicates/dcnickethnicbeer.wmv,,"same base name, lower-priority format",9a Duplicates/dcnickethnicbeer.mp4
SKIPPED,9a Duplicates/FLV/dcnickethnicbeer.flv,,"same base name, lower-priority format",9a Duplicates/dcnickethnicbeer.mp4
SKIPPED,9a Duplicates/dctellsamarriagejoke.wmv,,"same base name, lower-priority format",9a Duplicates/dctellsamarriagejoke.mp4
SKIPPED,9a Duplicates/FLV/dctellsamarriagejoke.flv,,"same base name, lower-priority format",9a Duplicates/dctellsamarriagejoke.mp4
SKIPPED,1j Too Ethnic/dctellsethnicjokes.wmv,,"same base name, lower-priority format",1e Edit/dctellsethnicjokes.mp4
SKIPPED,9a Duplicates/FLV/dctellsethnicjokes.flv,,"same base name, lower-priority format",1e Edit/dctellsethnicjokes.mp4
SKIPPED,9a Duplicates/MP4 bad audio/dctellsjewishjokes.mp4,,same base name and format in different folder,9a Duplicates/dctellsjewishjokes.mp4
SKIPPED,9a Duplicates/FLV/dctellsjewishjokes.flv,,"same base name, lower-priority format",9a Duplicates/dctellsjewishjokes.mp4
SKIPPED,9a Duplicates/MP4 bad audio/dctellspolishjokes.mp4,,same base name and format in different folder,9a Duplicates/dctellspolishjokes.mp4
SKIPPED,9a Duplicates/FLV/dctellspolishjokes.flv,,"same base name, lower-priority format",9a Duplicates/dctellspolishjokes.mp4
SKIPPED,9a Duplicates/MP4 bad audio/dead baby chicken copy.mp4,,same base name and format in different folder,9a Duplicates/dead baby chicken copy.mp4
SKIPPED,9a Duplicates/FLV/dead baby chicken copy.flv,,"same base name, lower-priority format",9a Duplicates/dead baby chicken copy.mp4
SKIPPED,9a Duplicates/FLV/dead baby clown copy.flv,,"same base name, lower-priority format",9a Duplicates/dead baby clown copy.mp4
SKIPPED,9a Duplicates/dead baby house copy.mov,,"same base name, lower-priority format",9a Duplicates/dead baby house copy.mp4
SKIPPED,9a Duplicates/FLV/dead baby house copy.flv,,"same base name, lower-priority format",9a Duplicates/dead baby house copy.mp4
SKIPPED,9a Duplicates/MP4 bad audio/dead baby paint copy.mp4,,same base name and format in different folder,9a Duplicates/dead baby paint copy.mp4
SKIPPED,9a Duplicates/FLV/dead baby paint copy.flv,,"same base name, lower-priority format",9a Duplicates/dead baby paint copy.mp4
SKIPPED,9a Duplicates/FLV/dead baby skullfuck copy.flv,,"same base name, lower-priority format",9a Duplicates/dead baby skullfuck copy.mp4
SKIPPED,9a Duplicates/FLV/dead baby trampoline copy.flv,,"same base name, lower-priority format",9a Duplicates/dead baby trampoline copy.mp4
SKIPPED,9a Duplicates/FLV/dead baby watermelon copy-1.flv,,"same base name, lower-priority format",9a Duplicates/dead baby watermelon copy-1.mp4
SKIPPED,9a Duplicates/FLV/dead cat copy.flv,,"same base name, lower-priority format",9a Duplicates/dead cat copy.mp4
SKIPPED,9a Duplicates/FLV/deaf dick copy.flv,,"same base name, lower-priority format",9a Duplicates/deaf dick copy.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Dean tells 2 jokesR.mp4,,same base name and format in different folder,9a Duplicates/Dean tells 2 jokesR.mp4
SKIPPED,9a Duplicates/FLV/Dean tells 2 jokesR.flv,,"same base name, lower-priority format",9a Duplicates/Dean tells 2 jokesR.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Dean tells an old man jokeR.mp4,,same base name and format in different folder,9a Duplicates/Dean tells an old man jokeR.mp4
SKIPPED,9a Duplicates/FLV/Dean tells an old man jokeR.flv,,"same base name, lower-priority format",9a Duplicates/Dean tells an old man jokeR.mp4
SKIPPED,9a Duplicates/FLV/debbie _ ariel copy-1.flv,,"same base name, lower-priority format",9a Duplicates/debbie _ ariel copy-1.mp4
SKIPPED,9a Duplicates/FLV/debbie _ nikki copy.flv,,"same base name, lower-priority format",9a Duplicates/debbie _ nikki copy.mp4
SKIPPED,9a Duplicates/FLV/debbie copy.flv,,"same base name, lower-priority format",9a Duplicates/debbie copy.mp4
SKIPPED,9a Duplicates/FLV/ded babies copy.flv,,"same base name, lower-priority format",1c Not Funny Enough/ded babies copy.mp4
SKIPPED,9a Duplicates/Dennis tells a sex jokeR.wmv,,"same base name, lower-priority format",1e Edit/Dennis tells a sex jokeR.mp4
SKIPPED,9a Duplicates/FLV/Dennis tells a sex jokeR.flv,,"same base name, lower-priority format",1e Edit/Dennis tells a sex jokeR.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Derek tells a lesbian jokeR.mp4,,same base name and format in different folder,9a Duplicates/Derek tells a lesbian jokeR.mp4
SKIPPED,9a Duplicates/FLV/Derek tells a lesbian jokeR.flv,,"same base name, lower-priority format",9a Duplicates/Derek tells a lesbian jokeR.mp4
SKIPPED,9a Duplicates/Derwin tells a mom n dad joke 3.wmv,,"same base name, lower-priority format",9a Duplicates/Derwin tells a mom n dad joke 3.mp4
SKIPPED,9a Duplicates/FLV/Derwin tells a mom n dad joke 3.flv,,"same base name, lower-priority format",9a Duplicates/Derwin tells a mom n dad joke 3.mp4
SKIPPED,9a Duplicates/MP4 bad audio/dese nuts copy.mp4,,same base name and format in different folder,9a Duplicates/dese nuts copy.mp4
SKIPPED,9a Duplicates/FLV/dese nuts copy.flv,,"same base name, lower-priority format",9a Duplicates/dese nuts copy.mp4
SKIPPED,9a Duplicates/FLV/desert island joke copy-1.flv,,"same base name, lower-priority format",9a Duplicates/desert island joke copy-1.mp4
SKIPPED,1g Kids/Desire tells a number joke.mov,,"same base name, lower-priority format",1c Not Funny Enough/Desire tells a number joke.mp4
SKIPPED,9a Duplicates/Desire tells a number joke.wmv,,"same base name, lower-priority format",1c Not Funny Enough/Desire tells a number joke.mp4
SKIPPED,9a Duplicates/FLV/Desire tells a number joke.flv,,"same base name, lower-priority format",1c Not Funny Enough/Desire tells a number joke.mp4
SKIPPED,9a Duplicates/Devon tells 2 jokesR.wmv,,"same base name, lower-priority format",9a Duplicates/Devon tells 2 jokesR.mp4
SKIPPED,9a Duplicates/FLV/Devon tells 2 jokesR.flv,,"same base name, lower-priority format",9a Duplicates/Devon tells 2 jokesR.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Devon tells an ethnic joke13.mp4,,same base name and format in different folder,9a Duplicates/Devon tells an ethnic joke13.mp4
SKIPPED,1j Too Ethnic/Removed from Live/Devon tells an ethnic joke13.wmv,,"same base name, lower-priority format",9a Duplicates/Devon tells an ethnic joke13.mp4
SKIPPED,9a Duplicates/FLV/Devon tells an ethnic joke13.flv,,"same base name, lower-priority format",9a Duplicates/Devon tells an ethnic joke13.mp4
SKIPPED,9a Duplicates/FLV/dg.flv,,"same base name, lower-priority format",9a Duplicates/dg.mp4
SKIPPED,9a Duplicates/FLV/diane copy.flv,,"same base name, lower-priority format",9a Duplicates/diane copy.mp4
SKIPPED,9a Duplicates/MP4 bad audio/dick izinia  copy.mp4,,same base name and format in different folder,1i Fails/dick izinia  copy.mp4
SKIPPED,9a Duplicates/FLV/dick izinia  copy.flv,,"same base name, lower-priority format",1i Fails/dick izinia  copy.mp4
SKIPPED,1f NG/Diego tells a joke in spanish.mov,,"same base name, lower-priority format",9a Duplicates/Diego tells a joke in spanish.mp4
SKIPPED,9a Duplicates/Diego tells a joke in spanish.wmv,,"same base name, lower-priority format",9a Duplicates/Diego tells a joke in spanish.mp4
SKIPPED,9a Duplicates/FLV/Diego tells a joke in spanish.flv,,"same base name, lower-priority format",9a Duplicates/Diego tells a joke in spanish.mp4
SKIPPED,9a Duplicates/FLV/dirty husband copy.flv,,"same base name, lower-priority format",9a Duplicates/dirty husband copy.mp4
SKIPPED,9a Duplicates/FLV/dishwasher copy.flv,,"same base name, lower-priority format",9a Duplicates/dishwasher copy.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Doc tells an ethnic joke13.mp4,,same base name and format in different folder,9a Duplicates/Doc tells an ethnic joke13.mp4
SKIPPED,1j Too Ethnic/Removed from Live/Doc tells an ethnic joke13.wmv,,"same base name, lower-priority format",9a Duplicates/Doc tells an ethnic joke13.mp4
SKIPPED,9a Duplicates/FLV/Doc tells an ethnic joke13.flv,,"same base name, lower-priority format",9a Duplicates/Doc tells an ethnic joke13.mp4
SKIPPED,9a Duplicates/Doc tells vibrator joke 3.wmv,,"same base name, lower-priority format",9a Duplicates/Doc tells vibrator joke 3.mp4
SKIPPED,9a Duplicates/FLV/Doc tells vibrator joke 3.flv,,"same base name, lower-priority format",9a Duplicates/Doc tells vibrator joke 3.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Dogbone tells an ethnic jokeR.mp4,,same base name and format in different folder,9a Duplicates/Dogbone tells an ethnic jokeR.mp4
SKIPPED,1j Too Ethnic/Dogbone tells an ethnic jokeR.wmv,,"same base name, lower-priority format",9a Duplicates/Dogbone tells an ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/Dogbone tells an ethnic jokeR.flv,,"same base name, lower-priority format",9a Duplicates/Dogbone tells an ethnic jokeR.mp4
SKIPPED,9a Duplicates/Dollamentry tells a smack joke 2.wmv,,"same base name, lower-priority format",9a Duplicates/Dollamentry tells a smack joke 2.mp4
SKIPPED,9a Duplicates/FLV/Dollamentry tells a smack joke 2.flv,,"same base name, lower-priority format",9a Duplicates/Dollamentry tells a smack joke 2.mp4
SKIPPED,9a Duplicates/Dom tells dirty johnny joke.wmv,,"same base name, lower-priority format",1b Long Jokes/Dom tells dirty johnny joke.mp4
SKIPPED,9a Duplicates/FLV/Dom tells dirty johnny joke.flv,,"same base name, lower-priority format",1b Long Jokes/Dom tells dirty johnny joke.mp4
SKIPPED,9a Duplicates/Dom tells dirty pig joke.wmv,,"same base name, lower-priority format",1b Long Jokes/Dom tells dirty pig joke.mp4
SKIPPED,9a Duplicates/FLV/Dom tells dirty pig joke.flv,,"same base name, lower-priority format",1b Long Jokes/Dom tells dirty pig joke.mp4
SKIPPED,9a Duplicates/Dom tells genie joke.wmv,,"same base name, lower-priority format",1b Long Jokes/Dom tells genie joke.mp4
SKIPPED,9a Duplicates/FLV/Dom tells genie joke.flv,,"same base name, lower-priority format",1b Long Jokes/Dom tells genie joke.mp4
SKIPPED,9a Duplicates/FLV/donna copy.flv,,"same base name, lower-priority format",9a Duplicates/donna copy.mp4
SKIPPED,9a Duplicates/FLV/donna tells a fat mamma joke.flv,,"same base name, lower-priority format",9a Duplicates/MP4 bad audio/donna tells a fat mamma joke.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Donna tells jackass joke.mp4,,same base name and format in different folder,9a Duplicates/Donna tells jackass joke.mp4
SKIPPED,9a Duplicates/FLV/Donna tells jackass joke.flv,,"same base name, lower-priority format",9a Duplicates/Donna tells jackass joke.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Donna tells priest joke.mp4,,same base name and format in different folder,9a Duplicates/Donna tells priest joke.mp4
SKIPPED,9a Duplicates/FLV/Donna tells priest joke.flv,,"same base name, lower-priority format",9a Duplicates/Donna tells priest joke.mp4
SKIPPED,9a Duplicates/FLV/donnie copy.flv,,"same base name, lower-priority format",9a Duplicates/donnie copy.mp4
SKIPPED,9a Duplicates/FLV/dosh copy.flv,,"same base name, lower-priority format",9a Duplicates/dosh copy.mp4
SKIPPED,9a Duplicates/doug C tells canibal joke.wmv,,"same base name, lower-priority format",9a Duplicates/doug C tells canibal joke.mp4
SKIPPED,9a Duplicates/FLV/doug C tells canibal joke.flv,,"same base name, lower-priority format",9a Duplicates/doug C tells canibal joke.mp4
SKIPPED,9a Duplicates/FLV/doug copy.flv,,"same base name, lower-priority format",9a Duplicates/doug copy.mp4
SKIPPED,9a Duplicates/Doug tells old lady joke 3.wmv,,"same base name, lower-priority format",1c Not Funny Enough/Doug tells old lady joke 3.mp4
SKIPPED,9a Duplicates/FLV/Doug tells old lady joke 3.flv,,"same base name, lower-priority format",1c Not Funny Enough/Doug tells old lady joke 3.mp4
SKIPPED,9a Duplicates/Doug tells pilgram joke 2.wmv,,"same base name, lower-priority format",9a Duplicates/Doug tells pilgram joke 2.mp4
SKIPPED,9a Duplicates/FLV/Doug tells pilgram joke 2.flv,,"same base name, lower-priority format",9a Duplicates/Doug tells pilgram joke 2.mp4
SKIPPED,9a Duplicates/Doug tells ugly joke 3.wmv,,"same base name, lower-priority format",9a Duplicates/Doug tells ugly joke 3.mp4
SKIPPED,9a Duplicates/FLV/Doug tells ugly joke 3.flv,,"same base name, lower-priority format",9a Duplicates/Doug tells ugly joke 3.mp4
SKIPPED,9a Duplicates/Dr Jackie tells doctor joke 1.wmv,,"same base name, lower-priority format",9a Duplicates/Dr Jackie tells doctor joke 1.mp4
SKIPPED,9a Duplicates/FLV/Dr Jackie tells doctor joke 1.flv,,"same base name, lower-priority format",9a Duplicates/Dr Jackie tells doctor joke 1.mp4
SKIPPED,9a Duplicates/FLV/drew copy.flv,,"same base name, lower-priority format",9a Duplicates/drew copy.mp4
SKIPPED,1c Not Funny Enough/drowning cop copy.mov,,"same base name, lower-priority format",9a Duplicates/drowning cop copy.mp4
SKIPPED,9a Duplicates/FLV/drowning cop copy.flv,,"same base name, lower-priority format",9a Duplicates/drowning cop copy.mp4
SKIPPED,1j Too Ethnic/Drunk frank tells black joke.mov,,"same base name, lower-priority format",9a Duplicates/Drunk frank tells black joke.mp4
SKIPPED,9a Duplicates/Drunk frank tells black joke.wmv,,"same base name, lower-priority format",9a Duplicates/Drunk frank tells black joke.mp4
SKIPPED,9a Duplicates/FLV/Drunk frank tells black joke.flv,,"same base name, lower-priority format",9a Duplicates/Drunk frank tells black joke.mp4
SKIPPED,9a Duplicates/FLV/Drunk frank tells black joke-1.flv,,"same base name, lower-priority format",9a Duplicates/Drunk frank tells black joke-1.mp4
SKIPPED,9a Duplicates/FLV/duck grapes copy.flv,,"same base name, lower-priority format",9a Duplicates/MP4 bad audio/duck grapes copy.mp4
SKIPPED,1j Too Ethnic/Dunn tells ethnic joke 5.mov,,"same base name, lower-priority format",9a Duplicates/Dunn tells ethnic joke 5.mp4
SKIPPED,9a Duplicates/Dunn tells ethnic joke 5.wmv,,"same base name, lower-priority format",9a Duplicates/Dunn tells ethnic joke 5.mp4
SKIPPED,9a Duplicates/FLV/Dunn tells ethnic joke 5.flv,,"same base name, lower-priority format",9a Duplicates/Dunn tells ethnic joke 5.mp4
SKIPPED,9a Duplicates/Dunn tells pinochio joke 4.wmv,,"same base name, lower-priority format",9a Duplicates/Dunn tells pinochio joke 4.mp4
SKIPPED,9a Duplicates/FLV/Dunn tells pinochio joke 4.flv,,"same base name, lower-priority format",9a Duplicates/Dunn tells pinochio joke 4.mp4
SKIPPED,9a Duplicates/dwayne tells a termite joke  1.wmv,,"same base name, lower-priority format",9a Duplicates/dwayne tells a termite joke  1.mp4
SKIPPED,9a Duplicates/FLV/dwayne tells a termite joke  1.flv,,"same base name, lower-priority format",9a Duplicates/dwayne tells a termite joke  1.mp4
SKIPPED,1c Not Funny Enough/Dwight tells a George Bush jokePG.wmv,,"same base name, lower-priority format",9a Duplicates/Dwight tells a George Bush jokePG.mp4
SKIPPED,9a Duplicates/FLV/Dwight tells a George Bush jokePG.flv,,"same base name, lower-priority format",9a Duplicates/Dwight tells a George Bush jokePG.mp4
SKIPPED,1j Too Ethnic/Dylan tells an ethnic jokeR.wmv,,"same base name, lower-priority format",9a Duplicates/Dylan tells an ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/Dylan tells an ethnic jokeR.flv,,"same base name, lower-priority format",9a Duplicates/Dylan tells an ethnic jokeR.mp4
SKIPPED,1g Kids/Ean tells bird joke.mov,,"same base name, lower-priority format",9a Duplicates/Ean tells bird joke.mp4
SKIPPED,1g Kids/Ean tells bird joke.wmv,,"same base name, lower-priority format",9a Duplicates/Ean tells bird joke.mp4
SKIPPED,9a Duplicates/FLV/Ean tells bird joke.flv,,"same base name, lower-priority format",9a Duplicates/Ean tells bird joke.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Ed C tells a gum jokePG.mp4,,same base name and format in different folder,9a Duplicates/Ed C tells a gum jokePG.mp4
SKIPPED,9a Duplicates/FLV/Ed C tells a gum jokePG.flv,,"same base name, lower-priority format",9a Duplicates/Ed C tells a gum jokePG.mp4
SKIPPED,9a Duplicates/FLV/ed eggs copy.flv,,"same base name, lower-priority format",9a Duplicates/ed eggs copy.mp4
SKIPPED,9a Duplicates/FLV/ed murphy copy.flv,,"same base name, lower-priority format",9a Duplicates/ed murphy copy.mp4
SKIPPED,9a Duplicates/Ed tells 1 more ethnic jokeR.wmv,,"same base name, lower-priority format",1j Too Ethnic/Ed tells 1 more ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/Ed tells 1 more ethnic jokeR.flv,,"same base name, lower-priority format",1j Too Ethnic/Ed tells 1 more ethnic jokeR.mp4
SKIPPED,9a Duplicates/Ed tells a Bill and Monica jokeR.wmv,,"same base name, lower-priority format",9a Duplicates/Ed tells a Bill and Monica jokeR.mp4
SKIPPED,9a Duplicates/FLV/Ed tells a Bill and Monica jokeR.flv,,"same base name, lower-priority format",9a Duplicates/Ed tells a Bill and Monica jokeR.mp4
SKIPPED,9a Duplicates/FLV/ed tells a muppet joke.flv,,"same base name, lower-priority format",9a Duplicates/MP4 bad audio/ed tells a muppet joke.mp4
SKIPPED,9a Duplicates/FLV/Ed tells an ethnic joke13.flv,,"same base name, lower-priority format",9a Duplicates/Ed tells an ethnic joke13.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Ed tells an ethnic joke13_topjokes.mp4,,same base name and format in different folder,9a Duplicates/Ed tells an ethnic joke13_topjokes.mp4
SKIPPED,1j Too Ethnic/Removed from Live/Ed tells an ethnic joke13_topjokes.wmv,,"same base name, lower-priority format",9a Duplicates/Ed tells an ethnic joke13_topjokes.mp4
SKIPPED,9a Duplicates/FLV/Ed tells an ethnic joke13_topjokes.flv,,"same base name, lower-priority format",9a Duplicates/Ed tells an ethnic joke13_topjokes.mp4
SKIPPED,1j Too Ethnic/Ed tells an ethnic jokeR.wmv,,"same base name, lower-priority format",1j Too Ethnic/Ed tells an ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/Ed tells an ethnic jokeR.flv,,"same base name, lower-priority format",1j Too Ethnic/Ed tells an ethnic jokeR.mp4
SKIPPED,1j Too Ethnic/Ed tells another ethnic jokeR.wmv,,"same base name, lower-priority format",9a Duplicates/Ed tells another ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/Ed tells another ethnic jokeR.flv,,"same base name, lower-priority format",9a Duplicates/Ed tells another ethnic jokeR.mp4
SKIPPED,1j Too Ethnic/Ed tells black joke.mov,,"same base name, lower-priority format",9a Duplicates/Ed tells black joke.mp4
SKIPPED,9a Duplicates/Ed tells black joke.wmv,,"same base name, lower-priority format",9a Duplicates/Ed tells black joke.mp4
SKIPPED,9a Duplicates/FLV/Ed tells black joke.flv,,"same base name, lower-priority format",9a Duplicates/Ed tells black joke.mp4
SKIPPED,9a Duplicates/Ed tells talkin muffin joke.wmv,,"same base name, lower-priority format",9a Duplicates/Ed tells talkin muffin joke.mp4
SKIPPED,9a Duplicates/FLV/Ed tells talkin muffin joke.flv,,"same base name, lower-priority format",9a Duplicates/Ed tells talkin muffin joke.mp4
SKIPPED,9a Duplicates/Ed tells yet another ethnic joke1R.wmv,,"same base name, lower-priority format",1j Too Ethnic/Ed tells yet another ethnic joke1R.mp4
SKIPPED,9a Duplicates/FLV/Ed tells yet another ethnic joke1R.flv,,"same base name, lower-priority format",1j Too Ethnic/Ed tells yet another ethnic joke1R.mp4
SKIPPED,9a Duplicates/Ed tells yet another ethnic jokeR.wmv,,"same base name, lower-priority format",1j Too Ethnic/Ed tells yet another ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/Ed tells yet another ethnic jokeR.flv,,"same base name, lower-priority format",1j Too Ethnic/Ed tells yet another ethnic jokeR.mp4
SKIPPED,9a Duplicates/FLV/Eddie tells a beach jokePG.flv,,"same base name, lower-priority format",9a Duplicates/Eddie tells a beach jokePG.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Eddie tells a girlfriend joke13.mp4,,same base name and format in different folder,9a Duplicates/Eddie tells a girlfriend joke13.mp4
SKIPPED,9a Duplicates/FLV/Eddie tells a girlfriend joke13.flv,,"same base name, lower-priority format",9a Duplicates/Eddie tells a girlfriend joke13.mp4
SKIPPED,9a Duplicates/MP4 bad audio/eddie tells a poetry joke13.mp4,,same base name and format in different folder,9a Duplicates/eddie tells a poetry joke13.mp4
SKIPPED,9a Duplicates/FLV/eddie tells a poetry joke13.flv,,"same base name, lower-priority format",9a Duplicates/eddie tells a poetry joke13.mp4
SKIPPED,9a Duplicates/MP4 bad audio/Eddie tells an ethnic joke13.mp4,,same base name and format in different folder,9a Duplicates/Eddie tells an ethnic joke13.mp4
SKIPPED,1j Too Ethnic/Removed from Live/Eddie tells an ethnic joke13.wmv,,"same base name, lower-priority format",9a Duplicates/Eddie tells an ethnic joke13.mp4
SKIPPED,9a Duplicates/FLV/Eddie tells an ethnic joke13.flv,,"same base name, lower-priority format",9a Duplicates/Eddie tells an ethnic joke13.mp4
SKIPPED,9a Duplicates/Eddy tells cheese joke 5.wmv,,"same base name, lower-priority format",9a Duplicates/Eddy tells cheese joke 5.mp4
SKIPPED,9a Duplicates/FLV/Eddy tells cheese joke 5.flv,,"same base name, lower-priority format",9a Duplicates/Eddy tells cheese joke 5.mp4
